stationName,stationID,stationLoad,port1Status,port1UserID,port1Load,port2Status,port2UserID,port2Load
AHM TORRANCE / 3-4,1:145107,0.000,AVAILABLE,,0,NOT CHARGING,762157,0
AHM TORRANCE / 25-26,1:128351,6.102,CHARGING,669989,6.102,AVAILABLE,,0
AHM TORRANCE / TORRANCE LEVEL3,1:125491,0.000,AVAILABLE,,0,,,
AHM TORRANCE / 100A-100B,1:124503,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 59-60,1:116041,0.000,NOT CHARGING,838860,0,AVAILABLE,,0
AHM TORRANCE / 57-58,1:116037,0.000,NOT CHARGING,611259,0,NOT CHARGING,358421,0
AHM TORRANCE / 33-34,1:115895,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 19-20,1:115893,0.000,NOT CHARGING,552513,0,AVAILABLE,,0
AHM TORRANCE / 5-6,1:115881,0.000,AVAILABLE,,0,NOT CHARGING,615749,0
AHM TORRANCE / 11-12,1:115877,0.000,AVAILABLE,,0,NOT CHARGING,550811,0
AHM TORRANCE / 13-14,1:115875,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 9-10,1:115871,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 7-8,1:115867,6.094,NOT CHARGING,469443,0,CHARGING,723771,6.094
AHM TORRANCE / 17-18,1:115857,0.000,NOT CHARGING,704307,0,NOT CHARGING,613771,0
AHM TORRANCE / 27-28,1:115853,0.000,NOT CHARGING,551971,0,NOT CHARGING,274125,0
AHM TORRANCE / 21-22,1:115847,6.075,AVAILABLE,,0,CHARGING,521629,6.075
AHM TORRANCE / 53-54,1:115843,3.135,CHARGING,521627,3.135,NOT CHARGING,652365,0
AHM TORRANCE / 49-50,1:115841,0.000,NOT CHARGING,24863,0,NOT CHARGING,718247,0
AHM TORRANCE / 51-52,1:115839,0.000,AVAILABLE,,0,NOT CHARGING,109493,0
AHM TORRANCE / 31-32,1:115837,0.000,AVAILABLE,,0,NOT CHARGING,736105,0
AHM TORRANCE / 45-46,1:115833,0.000,NOT CHARGING,720711,0,NOT CHARGING,731413,0
AHM TORRANCE / 41-42,1:115821,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 37-38,1:115791,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 55-56,1:115785,0.000,AVAILABLE,,0,NOT CHARGING,109493,0
AHM TORRANCE / 35-36,1:115777,0.000,AVAILABLE,,0,NOT CHARGING,660159,0
AHM TORRANCE / 15-16,1:115773,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 43-44,1:115767,0.000,AVAILABLE,,0,NOT CHARGING,10753,0
AHM TORRANCE / 29-30,1:115743,6.074,AVAILABLE,,0,CHARGING,346201,6.074
AHM TORRANCE / 39-40,1:115669,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 47-48,1:115641,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 100C-100D,1:113511,0.000,NOT CHARGING,268105,0,AVAILABLE,,0
AHM TORRANCE / 23-24,1:113437,0.000,AVAILABLE,,0,AVAILABLE,,0
AHM TORRANCE / 1-2,1:113435,0.000,AVAILABLE,,0,NOT CHARGING,818827,0
